m,variant,lambda_phys,tau,calibration,mae_mean,mae_std,rmse_mean,rmse_std,picp_mean,picp_std,mpiw_mean,mpiw_std,ece_mean,ece_std,nll_mean,nll_std,physics_residual_abs_mean,physics_residual_abs_std
1,mapp,10.0,0.1,raw,0.7760598348257574,0.0008741728755172053,0.964347659921171,0.0010047359105368274,0.0,0.0,0.06457317424447913,0.007927371545469318,0.6668375000000001,0.0,2032.513263740096,772.5327203207155,0.0020670993253588676,0.0003940962385792177
1,mapp,1.0,10.0,raw,0.7759831576330359,0.0008377675697627402,0.9644217770568613,0.00031495548488506863,0.0,0.0,0.09762197056491125,0.017975745607156306,0.6668375000000001,0.0,813.1754822409156,150.81248049991495,0.002151799271814525,0.0017182829454316139
1,mapp,10.0,10.0,raw,0.776481656439341,0.0003282327956695572,0.9644396472828985,0.00013672876192406903,0.0,0.0,0.06376122930822405,0.004426512734585881,0.6668375000000001,0.0,2058.931084814743,412.94550321698136,0.002356485890535017,0.00088464147058719
1,mapp,1.0,0.03,raw,0.7753607906776954,0.0009189437179814951,0.9646536861182823,0.0007489764020854058,0.008771929824561403,0.015193428136569098,0.09989422071202281,0.026282859023567497,0.6635480263157895,0.005697535551213398,823.0327219334467,310.64067132882815,0.0036285857980449996,0.0004348711980523091
1,mapp,1.0,3.0,raw,0.7764147268608212,0.0005587767733199802,0.9647432504150713,0.0005408453586152561,0.0,0.0,0.08277794891935691,0.009146673734521644,0.6668375000000001,0.0,1205.6818063786056,219.0409269601284,0.0025214268437897167,0.0017951932298584073
1,mapp,1.0,0.01,raw,0.7766852553509045,0.001380519159243982,0.9648030870167043,0.001772201155549029,0.0,0.0,0.09440039536147787,0.007098644094900393,0.6668375000000001,0.0,998.6895228525904,319.15206434041914,0.0017824448101843398,0.0001404928296095648
1,mapp,10.0,0.3,raw,0.7769528212385218,0.0005080997747889017,0.9648099268010261,0.0002683490895781494,0.0,0.0,0.06602245843724201,0.006404300916037879,0.6668375000000001,0.0,1838.4302153180781,299.6274718022451,0.0016164514624203246,0.0005478909499794705
1,mapp,0.1,0.1,raw,0.7760037752767012,0.00036753351729672257,0.9648527150208501,0.0005508161099130522,0.008771929824561403,0.015193428136569098,0.08869502389509427,0.018276864041115264,0.6646445175438597,0.003798357034142247,1054.9908139144782,517.0363790533501,0.002460439514834434,0.0035728589175406233
1,mapp,1.0,0.1,raw,0.7765928249512064,0.000320721418088133,0.9648770795813727,0.000992671565530355,0.0,0.0,0.08390431766185845,0.014082445216926646,0.6668375000000001,0.0,1183.0525724205638,412.9097089604219,0.003945883984367053,0.0013613274563855121
1,fixed_gompertz,1.0,1.0,raw,0.7765865529511582,0.0006764978917854873,0.9650389989510112,0.000484163345735271,0.0,0.0,0.08474421752780154,0.006994498569987572,0.6668375000000001,0.0,1102.327932872885,198.09387762339293,0.0025621394937237105,0.0020013701690469107
1,mapp,0.1,10.0,raw,0.7768748319266657,0.0005514160452565824,0.9650857812950728,0.0014884392128507108,0.0,0.0,0.09837230105410542,0.007513899743360215,0.6668375000000001,0.0,820.4405732019455,150.59879555052663,0.0008137861732393503,0.00046849193251316214
