m,method,Method,Subgroup,n_per_repeat,rmse_mean,rmse_sd,RMSE,picp_mean,picp_sd,PICP,mpiw_mean,mpiw_sd,MPIW,ece_mean,ece_sd,ECE,nll_mean,nll_sd,NLL,mae_mean,mae_sd,MAE
4,deterministic,Deterministic,abdomen/liver,13,0.3113397977975953,0.040141656661671785,0.3113 +/- 0.0401,1.0,0.0,1.0000 +/- 0.0000,2.8381161093711853,0.1671296514410931,2.8381 +/- 0.1671,0.20816250000000003,0.03466876226407681,0.2082 +/- 0.0347,0.6907074695180979,0.025719378863172465,0.6907 +/- 0.0257,0.2718107322804057,0.031920659172508636,0.2718 +/- 0.0319
4,deterministic,Deterministic,chest/lung,17,0.45277767671302277,0.006269089145078115,0.4528 +/- 0.0063,1.0,0.0,1.0000 +/- 0.0000,2.8381161093711853,0.1671296514410931,2.8381 +/- 0.1671,0.13147524509803923,0.021863998535246267,0.1315 +/- 0.0219,0.7921442752604738,0.030907887974460344,0.7921 +/- 0.0309,0.3809327060247169,0.02363947109583654,0.3809 +/- 0.0236
4,deterministic,Deterministic,other,8,0.5666647961139356,0.020718992661640914,0.5667 +/- 0.0207,1.0,0.0,1.0000 +/- 0.0000,2.8381161093711853,0.1671296514410931,2.8381 +/- 0.1671,0.1016791666666667,0.02577171818744986,0.1017 +/- 0.0258,0.9049045112909536,0.014872551488228903,0.9049 +/- 0.0149,0.4488213441024224,0.04335143558746164,0.4488 +/- 0.0434
4,mc_dropout,MC Dropout,abdomen/liver,13,0.27502440883429674,0.0039403562924655525,0.2750 +/- 0.0039,1.0,0.0,1.0000 +/- 0.0000,3.0989762388633975,0.030870943989188448,3.0990 +/- 0.0309,0.21777788461538464,0.009615384615384609,0.2178 +/- 0.0096,0.7119458688949103,0.014656592356205696,0.7119 +/- 0.0147,0.24758178831890035,0.0026146502545874866,0.2476 +/- 0.0026
4,mc_dropout,MC Dropout,chest/lung,17,0.4495664320075657,0.0054531506473286025,0.4496 +/- 0.0055,1.0,0.0,1.0000 +/- 0.0000,3.2153175195599144,0.18042575637818967,3.2153 +/- 0.1804,0.137084068627451,0.00849044513514155,0.1371 +/- 0.0085,0.8581602768211217,0.02485318924736962,0.8582 +/- 0.0249,0.37109763752997793,0.00537806609319079,0.3711 +/- 0.0054
4,mc_dropout,MC Dropout,other,8,0.553891855271505,0.004749347025497317,0.5539 +/- 0.0047,1.0,0.0,1.0000 +/- 0.0000,2.8218291809824865,0.04652083146579167,2.8218 +/- 0.0465,0.09188750000000001,0.013598460390794254,0.0919 +/- 0.0136,0.929958206369335,0.020595018261039898,0.9300 +/- 0.0206,0.4177926753595238,0.004887231714659602,0.4178 +/- 0.0049
4,deep_ensemble,Deep Ensemble,abdomen/liver,13,0.2903711936007285,0.008237734548463204,0.2904 +/- 0.0082,1.0,0.0,1.0000 +/- 0.0000,2.7933661196217603,0.050463220620634276,2.7934 +/- 0.0505,0.21777788461538464,0.0,0.2178 +/- 0.0000,0.6601829410203183,0.010066820970527782,0.6602 +/- 0.0101,0.25914747450405207,0.005972040550223339,0.2591 +/- 0.0060
4,deep_ensemble,Deep Ensemble,chest/lung,17,0.44579244674061796,0.005679638701041161,0.4458 +/- 0.0057,1.0,0.0,1.0000 +/- 0.0000,2.862140360114033,0.05906118907240167,2.8621 +/- 0.0591,0.13953504901960787,0.004245222567570795,0.1395 +/- 0.0042,0.8006034867916078,0.016630620844860944,0.8006 +/- 0.0166,0.3725618405523254,0.004564365357887933,0.3726 +/- 0.0046
4,deep_ensemble,Deep Ensemble,other,8,0.5555773572940447,0.008560824158305644,0.5556 +/- 0.0086,1.0,0.0,1.0000 +/- 0.0000,2.7596846900223952,0.05004566245997479,2.7597 +/- 0.0500,0.09357916666666667,0.009021097956087902,0.0936 +/- 0.0090,0.8684064527769214,0.015694351802319526,0.8684 +/- 0.0157,0.42447706797781093,0.0006463830543384573,0.4245 +/- 0.0006
4,bayesian_laplace,Residual Gaussian,abdomen/liver,13,0.2840963614403956,0.028689394549069942,0.2841 +/- 0.0287,1.0,0.0,1.0000 +/- 0.0000,2.932287573814392,0.17007779329110684,2.9323 +/- 0.1701,0.22418814102564108,0.030909137054464582,0.2242 +/- 0.0309,0.7018227920996285,0.03433479897083366,0.7018 +/- 0.0343,0.2526955049580488,0.023130777477864677,0.2527 +/- 0.0231
4,bayesian_laplace,Residual Gaussian,chest/lung,17,0.43979049567745515,0.007325866500768336,0.4398 +/- 0.0073,1.0,0.0,1.0000 +/- 0.0000,2.932287573814392,0.17007779329110684,2.9323 +/- 0.1701,0.15353406862745098,0.0227268038962863,0.1535 +/- 0.0227,0.8011148717917086,0.04385419407545015,0.8011 +/- 0.0439,0.35897483819109555,0.009492688307952317,0.3590 +/- 0.0095
4,bayesian_laplace,Residual Gaussian,other,8,0.570139896562353,0.006652166068947096,0.5701 +/- 0.0067,1.0,0.0,1.0000 +/- 0.0000,2.932287573814392,0.17007779329110684,2.9323 +/- 0.1701,0.1132541666666667,0.029069586053697666,0.1133 +/- 0.0291,0.919862364936585,0.026352221733929294,0.9199 +/- 0.0264,0.4310686147461335,0.021339662993237574,0.4311 +/- 0.0213
